Business,Total_Quantity,Transaction_Frequency,Total_Value,Segment,Segment_Label
Business-a3da,87,75,150932.0,0,Low Value
Business-a3e6,75,25,55470.0,0,Low Value
Business-a3e9,2,2,3790.0,0,Low Value
Business-a3ee,2,2,5595.0,0,Low Value
Business-a3fe,1297,702,1777866.0,1,Medium Value
Business-a409,164,19,41776.0,0,Low Value
Business-a417,141,131,272627.0,0,Low Value
Business-a422,618,190,446671.0,1,Medium Value
Business-a427,666,101,271167.0,0,Low Value
Business-a43d,1790,274,820763.0,1,Medium Value
Business-a44a,210,188,455052.0,0,Low Value
Business-a462,3,3,17375.0,0,Low Value
Business-a465,36,23,55266.0,0,Low Value
Business-a476,16,8,6160.0,0,Low Value
Business-a47b,2,1,725.0,0,Low Value
Business-a47c,22,15,20960.0,0,Low Value
Business-a484,4,4,7890.0,0,Low Value
Business-a4a5,2,1,1650.0,0,Low Value
Business-a4af,1,1,1120.0,0,Low Value
Business-a4b5,6,6,9380.0,0,Low Value
Business-a4ea,144,131,265745.0,0,Low Value
Business-a4fa,1,1,2070.0,0,Low Value
Business-a4fe,1500,536,1281486.0,1,Medium Value
Business-a50a,134,83,69356.0,0,Low Value
Business-a51c,2,2,3155.0,0,Low Value
Business-a523,605,106,250266.0,0,Low Value
Business-a534,3,3,1665.0,0,Low Value
Business-a549,2,2,7400.0,0,Low Value
Business-a54b,21,7,12665.0,0,Low Value
Business-a55f,38,10,26620.0,0,Low Value
Business-a563,234,200,318835.0,0,Low Value
Business-a568,6,4,6495.0,0,Low Value
Business-a585,4,3,5035.0,0,Low Value
Business-a58d,1,1,1150.0,0,Low Value
Business-a58f,205,96,575214.0,0,Low Value
Business-a5ac,102,77,137693.0,0,Low Value
Business-a5cd,4,3,7035.0,0,Low Value
Business-a5f2,3,2,5645.0,0,Low Value
Business-a609,146,56,113541.0,0,Low Value
Business-a616,4,4,13740.0,0,Low Value
Business-a62d,32,20,50035.0,0,Low Value
Business-a63b,7,3,12490.0,0,Low Value
Business-a641,1281,865,2357383.0,2,High Value
Business-a658,1326,445,1318114.0,1,Medium Value
Business-a65e,31,23,46025.0,0,Low Value
Business-a682,68,41,73920.0,0,Low Value
Business-a68c,3198,980,2445156.0,2,High Value
Business-a68e,1,1,4505.0,0,Low Value
Business-a6a1,1689,463,1136330.0,1,Medium Value
Business-a6b2,49,43,102635.0,0,Low Value
Business-a6b6,10,1,2116.0,0,Low Value
Business-a6b8,3,2,2850.0,0,Low Value
Business-a6c4,8,6,14295.0,0,Low Value
Business-a6c6,163,150,265725.0,0,Low Value
Business-a6ce,14,14,37050.0,0,Low Value
Business-a6d9,41,39,83317.0,0,Low Value
Business-a6dc,27,17,50227.0,0,Low Value
Business-a6e2,3,3,4685.0,0,Low Value
Business-a6e4,14,7,19855.0,0,Low Value
Business-a6ed,15,5,14280.0,0,Low Value
Business-a703,456,241,558666.0,1,Medium Value
Business-a709,1,1,1770.0,0,Low Value
Business-a70f,8,1,1520.0,0,Low Value
Business-a712,115,100,227389.0,0,Low Value
Business-a717,29,21,61550.0,0,Low Value
Business-a71a,6,6,15840.0,0,Low Value
Business-a71f,65,62,130930.0,0,Low Value
Business-a728,287,182,360732.0,0,Low Value
Business-a747,70,63,67122.0,0,Low Value
Business-a75f,1,1,3870.0,0,Low Value
Business-a76a,7,6,9490.0,0,Low Value
Business-a76c,244,187,339466.0,0,Low Value
Business-a774,1,1,4060.0,0,Low Value
Business-a78d,1,1,1425.0,0,Low Value
Business-a7a3,312,52,152710.0,0,Low Value
Business-a7aa,647,360,997914.0,1,Medium Value
Business-a7cf,2,2,2890.0,0,Low Value
Business-a7d3,19,11,12425.0,0,Low Value
Business-a7d6,55,38,65815.0,0,Low Value
Business-a7f1,2,1,2630.0,0,Low Value
Business-a801,19,19,29840.0,0,Low Value
Business-a81b,25,4,12511.0,0,Low Value
Business-a820,368,41,96002.0,0,Low Value
Business-a825,3,3,5470.0,0,Low Value
Business-a82f,1,1,1530.0,0,Low Value
Business-a835,2,1,1540.0,0,Low Value
Business-a847,1,1,2055.0,0,Low Value
Business-a850,340,50,149980.0,0,Low Value
Business-a85f,195,49,104695.0,0,Low Value
Business-a869,13,10,17175.0,0,Low Value
Business-a883,4,3,3185.0,0,Low Value
Business-a8b3,69,11,24820.0,0,Low Value
Business-a8bd,3494,704,1873950.0,2,High Value
Business-a8d5,1524,255,590649.0,1,Medium Value
